Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B4_HTT_Net,NASA_Milling,N2,3,0.4736842105263157,0.3068181818181818,0.0,0.5454545454545454,0.375,0.375,1.0,0.0,0.0,1,0,0.2430778294801712,,,,
B4_HTT_Net,NASA_Milling,N2,13,0.5263157894736842,0.3473389355742296,0.0,0.5714285714285714,0.4705882352941176,0.4,1.0,0.0,0.0,1,0,0.2048495262861251,,,,
B4_HTT_Net,NASA_Milling,N2,23,0.4736842105263157,0.3068181818181818,0.0,0.5454545454545454,0.375,0.375,1.0,0.0,0.0,0,0,0.1710477769374847,,,,
B4_HTT_Net,NASA_Milling,N2,33,0.4736842105263157,0.3068181818181818,0.0,0.5454545454545454,0.375,0.375,1.0,0.0,0.0,2,0,0.2319818586111068,,,,
B4_HTT_Net,NASA_Milling,N2,43,0.4210526315789473,0.2628019323671497,0.0,0.5217391304347826,0.2666666666666666,0.3529411764705882,1.0,0.0,0.0,0,0,0.3124814629554748,,,,
B4_HTT_Net,NASA_Milling,N2,53,0.5263157894736842,0.3473389355742296,0.0,0.5714285714285714,0.4705882352941176,0.4,1.0,0.0,0.0,1,0,0.2466029375791549,,,,
B4_HTT_Net,NASA_Milling,N2,63,0.5263157894736842,0.3473389355742296,0.0,0.5714285714285714,0.4705882352941176,0.4,1.0,0.0,0.0,1,0,0.1499644517898559,,,,
B4_HTT_Net,NASA_Milling,N2,73,0.4210526315789473,0.2807017543859649,0.0,0.4210526315789473,0.4210526315789473,0.3076923076923077,0.6666666666666666,0.0,0.3333333333332777,1,0,0.3209343552589416,,,,
B4_HTT_Net,NASA_Milling,N2,83,0.4736842105263157,0.3068181818181818,0.0,0.5454545454545454,0.375,0.375,1.0,0.0,0.0,0,0,0.1680869311094284,,,,
B4_HTT_Net,NASA_Milling,N2,93,0.4736842105263157,0.3068181818181818,0.0,0.5454545454545454,0.375,0.375,1.0,0.0,0.0,0,0,0.1801766008138656,,,,
