Metric,Mean,Std,Min,Max,N
Acc,0.46521739130434786,0.04124709991523974,0.391304347826087,0.5217391304347826,10
Macro-F1,0.2844382457553813,0.05635197130434076,0.2156862745098039,0.3803418803418803,10
E-F1,0.0,0.0,0.0,0.0,10
M-F1,0.15737987502693382,0.21157179902974127,0.0,0.6470588235294118,10
L-F1,0.6959348622392101,0.24754786311214302,0.0,0.8333333333333334,10
M-Precision,0.4144927536231884,0.46608719686585004,0.0,1.0,10
M-Recall,0.15454545454545454,0.30619558979561523,0.0,1.0,10
M_to_E,0.5181818181817711,0.2745728797593519,0.0,0.7272727272726611,10
M_to_L,0.3272727272726975,0.2613801048829802,0.0,0.9999999999999092,10
Rev,0.8,0.42163702135578396,0.0,1.0,10
Jump,1.9,1.1972189997378648,0.0,3.0,10
Smooth,0.21336578325135633,0.16420127493569975,0.0012162226485088,0.367451936006546,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
