Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B9_DC_PHSR,NASA_Milling,N1,0,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0406908485392035,0.2468015094125743,0.2978359866658444,-0.2987709746221387,-0.2377188029361943
B9_DC_PHSR,NASA_Milling,N1,1,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0589343257639153,0.2539446898912772,0.3101041136128453,-0.4079696283391052,-0.4342179559570865
B9_DC_PHSR,NASA_Milling,N1,2,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0508526123254692,0.245126629731594,0.2925503905305129,-0.253082302493977,-0.4839073969508752
B9_DC_PHSR,NASA_Milling,N1,3,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0473388559088684,0.2422409792268749,0.2906615912747566,-0.2369539326896248,-0.1699604743083004
B9_DC_PHSR,NASA_Milling,N1,4,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0474813439381811,0.2357183220387353,0.27852694258053,-0.1358282229849161,-0.1654432523997741
B9_DC_PHSR,NASA_Milling,N1,5,0.5909090909090909,0.3632183908045976,0.0,0.6896551724137931,0.4,0.5263157894736842,1.0,0.0,0.0,1,0,0.0824428925877118,0.2305985114649994,0.2779289347815853,-0.1309561272463155,0.4624505928853756
B9_DC_PHSR,NASA_Milling,N1,6,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0497136676101145,0.2440303106630321,0.2914152352871064,-0.2433767385465119,-0.0559006211180124
B9_DC_PHSR,NASA_Milling,N1,7,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0441305515941277,0.2417082437490806,0.2888392369473383,-0.2214919523961001,-0.2083568605307735
B9_DC_PHSR,NASA_Milling,N1,8,0.5909090909090909,0.3933747412008281,0.0,0.5714285714285714,0.6086956521739131,0.5454545454545454,0.6,0.0,0.39999999999996,1,0,0.1294773607427308,0.2203387241484937,0.2514312281818483,0.0744142374561851,0.4511575381140599
B9_DC_PHSR,NASA_Milling,N1,9,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0444149418349014,0.2418093169708074,0.2900162042925108,-0.2314669492088863,0.1677018633540372
B9_DC_PHSR,NASA_Milling,N1,10,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0557000583361875,0.2426506771713426,0.2892750078376368,-0.225180455203825,-0.1620553359683794
B9_DC_PHSR,NASA_Milling,N1,11,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0486358573763084,0.244990419571772,0.2934428479464379,-0.2607392970729421,0.0525127046866177
B9_DC_PHSR,NASA_Milling,N1,12,0.4545454545454545,0.2083333333333333,0.0,0.625,0.0,0.4545454545454545,1.0,0.0,0.0,0,0,0.0491330203161332,0.2434946166274153,0.2926054411201009,-0.2535539437032093,-0.2365894974590627
B9_DC_PHSR,NASA_Milling,N1,13,0.7272727272727273,0.4786324786324786,0.0,0.7692307692307693,0.6666666666666666,0.625,1.0,0.0,0.0,2,0,0.1129386101421746,0.2317776259726592,0.2775108934094254,-0.1275564748466084,0.6318464144551101
B9_DC_PHSR,NASA_Milling,N1,14,0.9090909090909092,0.6055555555555555,0.0,0.9,0.9166666666666666,0.9,0.9,0.0,0.09999999999999,1,0,0.102639901635154,0.2090436024609745,0.2405656341832202,0.1526840039916216,0.6442687747035574
