Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B1_RF,PHM2010,D1,0,0.9736842105263158,0.9742517226528854,0.9651162790697676,0.96875,0.9888888888888888,0.9763779527559056,0.9612403100775194,0.0387596899224803,0.0,6,0,0.1098514851485148,,,,
B1_RF,PHM2010,D1,1,0.9802631578947368,0.980557901933239,0.9707602339181286,0.9763779527559056,0.994535519125683,0.992,0.9612403100775194,0.0310077519379842,0.007751937984496,5,0,0.1141749174917491,,,,
B1_RF,PHM2010,D1,2,0.9769736842105264,0.9774804235724064,0.9710982658959536,0.9723320158102768,0.989010989010989,0.9919354838709676,0.9534883720930232,0.0387596899224803,0.007751937984496,6,0,0.1143234323432343,,,,
B1_RF,PHM2010,D1,3,0.9736842105263158,0.9742517226528854,0.9651162790697676,0.96875,0.9888888888888888,0.9763779527559056,0.9612403100775194,0.0387596899224803,0.0,6,0,0.1157425742574257,,,,
B1_RF,PHM2010,D1,4,0.9703947368421052,0.9711626980976824,0.9707602339181286,0.9647058823529412,0.978021978021978,0.9761904761904762,0.9534883720930232,0.0310077519379842,0.0155038759689921,7,0,0.1126567656765676,,,,
B1_RF,PHM2010,D1,5,0.9736842105263158,0.9743118827609232,0.9707602339181286,0.96875,0.9834254143646408,0.9763779527559056,0.9612403100775194,0.0310077519379842,0.007751937984496,6,0,0.1103465346534653,,,,
B1_RF,PHM2010,D1,6,0.9769736842105264,0.9774705895738048,0.9707602339181286,0.9727626459143968,0.9888888888888888,0.9765625,0.9689922480620154,0.0310077519379842,0.0,5,0,0.1127392739273927,,,,
B1_RF,PHM2010,D1,7,0.9736842105263158,0.974166894035448,0.9651162790697676,0.9682539682539684,0.9891304347826086,0.991869918699187,0.9457364341085271,0.0387596899224803,0.0155038759689921,5,0,0.1142079207920792,,,,
B1_RF,PHM2010,D1,8,0.9736842105263158,0.9742104016962102,0.9651162790697676,0.968503937007874,0.989010989010989,0.984,0.9534883720930232,0.0387596899224803,0.007751937984496,7,0,0.1188943894389439,,,,
B1_RF,PHM2010,D1,9,0.9802631578947368,0.980557901933239,0.9707602339181286,0.9763779527559056,0.994535519125683,0.992,0.9612403100775194,0.0310077519379842,0.007751937984496,5,0,0.1131848184818481,,,,
B1_RF,PHM2010,D1,10,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1117986798679868,,,,
B1_RF,PHM2010,D1,11,0.9802631578947368,0.980557901933239,0.9707602339181286,0.9763779527559056,0.994535519125683,0.992,0.9612403100775194,0.0310077519379842,0.007751937984496,5,0,0.1142244224422442,,,,
B1_RF,PHM2010,D1,12,0.9671052631578948,0.9677178077627854,0.9540229885057472,0.96,0.9891304347826086,0.9917355371900828,0.9302325581395348,0.0542635658914724,0.0155038759689921,7,0,0.1166006600660066,,,,
B1_RF,PHM2010,D1,13,0.9703947368421052,0.971112349093512,0.9651162790697676,0.9649805447470816,0.9832402234636872,0.96875,0.9612403100775194,0.0387596899224803,0.0,6,0,0.1097689768976897,,,,
B1_RF,PHM2010,D1,14,0.9671052631578948,0.9678205299829482,0.9595375722543352,0.9603174603174603,0.9836065573770492,0.983739837398374,0.937984496124031,0.0465116279069763,0.0155038759689921,8,0,0.1122937293729372,,,,
B1_RF,PHM2010,D1,15,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1133168316831682,,,,
B1_RF,PHM2010,D1,16,0.9703947368421052,0.9710441144987216,0.9595375722543352,0.9647058823529412,0.9888888888888888,0.9761904761904762,0.9534883720930232,0.0465116279069763,0.0,7,0,0.1218481848184818,,,,
B1_RF,PHM2010,D1,17,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1094059405940594,,,,
B1_RF,PHM2010,D1,18,0.9835526315789472,0.9838389531074642,0.9767441860465116,0.9802371541501976,0.994535519125683,1.0,0.9612403100775194,0.0310077519379842,0.007751937984496,4,0,0.1165676567656765,,,,
B1_RF,PHM2010,D1,19,0.9703947368421052,0.9710499046390574,0.9651162790697676,0.9644268774703556,0.9836065573770492,0.9838709677419356,0.9457364341085271,0.0387596899224803,0.0155038759689921,6,0,0.1141419141914191,,,,
B1_RF,PHM2010,D1,20,0.9769736842105264,0.9774400808456536,0.9707602339181286,0.9725490196078432,0.989010989010989,0.984126984126984,0.9612403100775194,0.0310077519379842,0.007751937984496,6,0,0.1153960396039604,,,,
B1_RF,PHM2010,D1,21,0.9769736842105264,0.9775823518081984,0.9767441860465116,0.9727626459143968,0.9832402234636872,0.9765625,0.9689922480620154,0.0310077519379842,0.0,5,0,0.1111221122112211,,,,
B1_RF,PHM2010,D1,22,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1192244224422442,,,,
B1_RF,PHM2010,D1,23,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1172772277227722,,,,
B1_RF,PHM2010,D1,24,0.9703947368421052,0.9711728521476628,0.9707602339181286,0.9649805447470816,0.9777777777777776,0.96875,0.9612403100775194,0.0310077519379842,0.007751937984496,7,0,0.1184488448844884,,,,
B1_RF,PHM2010,D1,25,0.9769736842105264,0.9775609197446125,0.9767441860465116,0.9723320158102768,0.9836065573770492,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1146699669966996,,,,
B1_RF,PHM2010,D1,26,0.9802631578947368,0.980557901933239,0.9707602339181286,0.9763779527559056,0.994535519125683,0.992,0.9612403100775194,0.0310077519379842,0.007751937984496,5,0,0.1107920792079208,,,,
B1_RF,PHM2010,D1,27,0.9769736842105264,0.9773645518579612,0.970414201183432,0.9725490196078432,0.9891304347826086,0.984126984126984,0.9612403100775194,0.0232558139534881,0.0155038759689921,4,0,0.1179372937293729,,,,
B1_RF,PHM2010,D1,28,0.9835526315789472,0.9838389531074642,0.9767441860465116,0.9802371541501976,0.994535519125683,1.0,0.9612403100775194,0.0310077519379842,0.007751937984496,4,0,0.1135478547854785,,,,
B1_RF,PHM2010,D1,29,0.9802631578947368,0.980599290679892,0.9707602339181286,0.9765625,0.994475138121547,0.984251968503937,0.9689922480620154,0.0310077519379842,0.0,5,0,0.1123927392739274,,,,
B1_RF,PHM2010,D1,30,0.9802631578947368,0.9807012210568984,0.976470588235294,0.9767441860465116,0.9888888888888888,0.9767441860465116,0.9767441860465116,0.0232558139534881,0.0,5,0,0.1128877887788778,,,,
B1_RF,PHM2010,D1,31,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1136633663366336,,,,
B1_RF,PHM2010,D1,32,0.9802631578947368,0.980557901933239,0.9707602339181286,0.9763779527559056,0.994535519125683,0.992,0.9612403100775194,0.0310077519379842,0.007751937984496,5,0,0.1128712871287128,,,,
B1_RF,PHM2010,D1,33,0.9736842105263158,0.974166894035448,0.9651162790697676,0.9682539682539684,0.9891304347826086,0.991869918699187,0.9457364341085271,0.0387596899224803,0.0155038759689921,6,0,0.1157755775577557,,,,
B1_RF,PHM2010,D1,34,0.9802631578947368,0.9806883656731988,0.9767441860465116,0.9761904761904762,0.9891304347826086,1.0,0.9534883720930232,0.0310077519379842,0.0155038759689921,4,0,0.1168646864686468,,,,
B1_RF,PHM2010,D1,35,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.113052805280528,,,,
B1_RF,PHM2010,D1,36,0.9703947368421052,0.9711797630189114,0.9707602339181286,0.9652509652509652,0.9775280898876404,0.9615384615384616,0.9689922480620154,0.0310077519379842,0.0,7,0,0.1123432343234323,,,,
B1_RF,PHM2010,D1,37,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1111881188118812,,,,
B1_RF,PHM2010,D1,38,0.9736842105263158,0.9742104016962102,0.9651162790697676,0.968503937007874,0.989010989010989,0.984,0.9534883720930232,0.0387596899224803,0.007751937984496,7,0,0.1127227722772277,,,,
B1_RF,PHM2010,D1,39,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1114521452145214,,,,
B1_RF,PHM2010,D1,40,0.9671052631578948,0.9678482870088622,0.95906432748538,0.9612403100775194,0.9832402234636872,0.9612403100775194,0.9612403100775194,0.0387596899224803,0.0,6,0,0.1159735973597359,,,,
B1_RF,PHM2010,D1,41,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1119636963696369,,,,
B1_RF,PHM2010,D1,42,0.9769736842105264,0.9773279380019092,0.9651162790697676,0.9723320158102768,0.994535519125683,0.9919354838709676,0.9534883720930232,0.0387596899224803,0.007751937984496,5,0,0.1106930693069307,,,,
B1_RF,PHM2010,D1,43,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.113036303630363,,,,
B1_RF,PHM2010,D1,44,0.9802631578947368,0.9806883656731988,0.9767441860465116,0.9761904761904762,0.9891304347826086,1.0,0.9534883720930232,0.0310077519379842,0.0155038759689921,4,0,0.1114026402640263,,,,
B1_RF,PHM2010,D1,45,0.9736842105263158,0.9741722157945856,0.9595375722543352,0.968503937007874,0.994475138121547,0.984,0.9534883720930232,0.0465116279069763,0.0,6,0,0.1109570957095709,,,,
B1_RF,PHM2010,D1,46,0.9736842105263158,0.974113418047808,0.9647058823529412,0.968503937007874,0.9891304347826086,0.984,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1135643564356435,,,,
B1_RF,PHM2010,D1,47,0.9802631578947368,0.9806813590820944,0.976470588235294,0.9765625,0.989010989010989,0.984251968503937,0.9689922480620154,0.0232558139534881,0.007751937984496,5,0,0.1087293729372937,,,,
B1_RF,PHM2010,D1,48,0.9736842105263158,0.974290242767684,0.9707602339181286,0.968503937007874,0.9836065573770492,0.984,0.9534883720930232,0.0310077519379842,0.0155038759689921,6,0,0.1097359735973597,,,,
B1_RF,PHM2010,D1,49,0.9769736842105264,0.9774705895738048,0.9707602339181286,0.9727626459143968,0.9888888888888888,0.9765625,0.9689922480620154,0.0310077519379842,0.0,5,0,0.1092409240924092,,,,
B1_RF,PHM2010,D1,50,0.9769736842105264,0.9774467514878076,0.9710982658959536,0.9721115537848606,0.9891304347826086,1.0,0.9457364341085271,0.0387596899224803,0.0155038759689921,4,0,0.1093894389438943,,,,
B1_RF,PHM2010,D1,51,0.9802631578947368,0.9807012210568984,0.976470588235294,0.9767441860465116,0.9888888888888888,0.9767441860465116,0.9767441860465116,0.0232558139534881,0.0,4,0,0.1127722772277227,,,,
B1_RF,PHM2010,D1,52,0.9769736842105264,0.9774075615036714,0.9707602339181286,0.9723320158102768,0.9891304347826086,0.9919354838709676,0.9534883720930232,0.0310077519379842,0.0155038759689921,5,0,0.1169141914191419,,,,
B1_RF,PHM2010,D1,53,0.9703947368421052,0.9709371444439217,0.9595375722543352,0.9641434262948207,0.9891304347826086,0.9918032786885246,0.937984496124031,0.0465116279069763,0.0155038759689921,6,0,0.11506600660066,,,,
B1_RF,PHM2010,D1,54,0.9769736842105264,0.9774400808456536,0.9707602339181286,0.9725490196078432,0.989010989010989,0.984126984126984,0.9612403100775194,0.0310077519379842,0.007751937984496,6,0,0.1122112211221121,,,,
