Task,Seed,status
D1,0,DONE
D1,1,DONE
D1,2,DONE
D1,3,DONE
D1,4,DONE
D1,5,DONE
D1,6,DONE
D1,7,DONE
D1,8,DONE
D1,9,DONE
D1,10,DONE
D1,11,DONE
D1,12,DONE
D1,13,DONE
D1,14,DONE
D1,15,DONE
D1,16,DONE
D1,17,DONE
D1,18,DONE
D1,19,DONE
D1,20,DONE
D1,21,DONE
D1,22,DONE
D1,23,DONE
D1,24,DONE
D1,25,DONE
D1,26,DONE
D1,27,DONE
D1,28,DONE
D1,29,DONE
D1,30,DONE
D1,31,DONE
D1,32,DONE
D1,33,DONE
D1,34,DONE
D1,35,DONE
D1,36,DONE
D1,37,DONE
D1,38,DONE
D1,39,DONE
D1,40,DONE
D1,41,DONE
D1,42,DONE
D1,43,DONE
D1,44,DONE
D1,45,DONE
D1,46,DONE
D1,47,DONE
D1,48,DONE
D1,49,DONE
D1,50,DONE
D1,51,DONE
D1,52,DONE
D1,53,DONE
D1,54,DONE
D1,55,DONE
D1,56,DONE
D1,57,DONE
D1,58,DONE
D1,59,DONE
D1,60,DONE
D1,61,DONE
D1,62,DONE
D1,63,DONE
D1,64,DONE
D1,65,DONE
D1,66,DONE
D1,67,DONE
D1,68,DONE
D1,69,DONE
D1,70,DONE
D1,71,DONE
D1,72,DONE
D1,73,DONE
D1,74,DONE
D1,75,DONE
D1,76,DONE
D1,77,DONE
D1,78,DONE
D1,79,DONE
D1,80,DONE
D1,81,DONE
D1,82,DONE
D1,83,DONE
D1,84,DONE
D1,85,DONE
D1,86,DONE
D1,87,DONE
D1,88,DONE
D1,89,DONE
D1,90,DONE
D1,91,DONE
D1,92,DONE
D1,93,DONE
D1,94,DONE
D1,95,DONE
D1,96,DONE
D1,97,DONE
D1,98,DONE
D1,99,DONE
D1,100,DONE
D2,0,DONE
D2,1,DONE
D2,2,DONE
D2,3,DONE
D2,4,DONE
D2,5,DONE
D2,6,DONE
D2,7,DONE
D2,8,DONE
D2,9,DONE
D2,10,DONE
D2,11,DONE
D2,12,DONE
D2,13,DONE
D2,14,DONE
D2,15,DONE
D2,16,DONE
D2,17,DONE
D2,18,DONE
D2,19,DONE
D2,20,DONE
D2,21,DONE
D2,22,DONE
D2,23,DONE
D2,24,DONE
D2,25,DONE
D2,26,DONE
D2,27,DONE
D2,28,DONE
D2,29,DONE
D2,30,DONE
D2,31,DONE
D2,32,DONE
D2,33,DONE
D2,34,DONE
D2,35,DONE
D2,36,DONE
D2,37,DONE
D2,38,DONE
D2,39,DONE
D2,40,DONE
D2,41,DONE
D2,42,DONE
D2,43,DONE
D2,44,DONE
D2,45,DONE
D2,46,DONE
D2,47,DONE
D2,48,DONE
D2,49,DONE
D2,50,DONE
D2,51,DONE
D2,52,DONE
D2,53,DONE
D2,54,DONE
D2,55,DONE
D2,56,DONE
D2,57,DONE
D2,58,DONE
D2,59,DONE
D2,60,DONE
D2,61,DONE
D2,62,DONE
D2,63,DONE
D2,64,DONE
D2,65,DONE
D2,66,DONE
D2,67,DONE
D2,68,DONE
D2,69,DONE
D2,70,DONE
D2,71,DONE
D2,72,DONE
D2,73,DONE
D2,74,DONE
D2,75,DONE
D2,76,DONE
D2,77,DONE
D2,78,DONE
D2,79,DONE
D2,80,DONE
D2,81,DONE
D2,82,DONE
D2,83,DONE
D2,84,DONE
D2,85,DONE
D2,86,DONE
D2,87,DONE
D2,88,DONE
D2,89,DONE
D2,90,DONE
D2,91,DONE
D2,92,DONE
D2,93,DONE
D2,94,DONE
D2,95,DONE
D2,96,DONE
D2,97,DONE
D2,98,DONE
D2,99,DONE
D2,100,DONE
D3,0,DONE
D3,1,DONE
D3,2,DONE
D3,3,DONE
D3,4,DONE
D3,5,DONE
D3,6,DONE
D3,7,DONE
D3,8,DONE
D3,9,DONE
D3,10,DONE
D3,11,DONE
D3,12,DONE
D3,13,DONE
D3,14,DONE
D3,15,DONE
D3,16,DONE
D3,17,DONE
D3,18,DONE
D3,19,DONE
D3,20,DONE
D3,21,DONE
D3,22,DONE
D3,23,DONE
D3,24,DONE
D3,25,DONE
D3,26,DONE
D3,27,DONE
D3,28,DONE
D3,29,DONE
D3,30,DONE
D3,31,DONE
D3,32,DONE
D3,33,DONE
D3,34,DONE
D3,35,DONE
D3,36,DONE
D3,37,DONE
D3,38,DONE
D3,39,DONE
D3,40,DONE
D3,41,DONE
D3,42,DONE
D3,43,DONE
D3,44,DONE
D3,45,DONE
D3,46,DONE
D3,47,DONE
D3,48,DONE
D3,49,DONE
D3,50,DONE
D3,51,DONE
D3,52,DONE
D3,53,DONE
D3,54,DONE
D3,55,DONE
D3,56,DONE
D3,57,DONE
D3,58,DONE
D3,59,DONE
D3,60,DONE
D3,61,DONE
D3,62,DONE
D3,63,DONE
D3,64,DONE
D3,65,DONE
D3,66,DONE
D3,67,DONE
D3,68,DONE
D3,69,DONE
D3,70,DONE
D3,71,DONE
D3,72,DONE
D3,73,DONE
D3,74,DONE
D3,75,DONE
D3,76,DONE
D3,77,DONE
D3,78,DONE
D3,79,DONE
D3,80,DONE
D3,81,DONE
D3,82,DONE
D3,83,DONE
D3,84,DONE
D3,85,DONE
D3,86,DONE
D3,87,DONE
D3,88,DONE
D3,89,DONE
D3,90,DONE
D3,91,DONE
D3,92,DONE
D3,93,DONE
D3,94,DONE
D3,95,DONE
D3,96,DONE
D3,97,DONE
D3,98,DONE
D3,99,DONE
D3,100,DONE
