Metric,Mean,Std,Min,Max,N
Acc,0.8435307017543859,0.023777263325639418,0.8004385964912281,0.8760964912280702,10
Macro-F1,0.8473526138040075,0.024726027771045565,0.8021882087006547,0.8810987863557823,10
E-F1,0.8551251797914539,0.018980263877125005,0.8338103680561949,0.885544674859191,10
M-F1,0.7724170161168168,0.04638076932006437,0.6866751568322248,0.8346239070066046,10
L-F1,0.9145156455037519,0.030343550180874656,0.8767477068305282,0.9607833792130599,10
M-Precision,0.9221472971558423,0.018650028827569776,0.8927485380116958,0.9459459459459459,10
M-Recall,0.6959759442317582,0.07020271380762565,0.5733243814639164,0.8091410649550185,10
M_to_E,0.1677883486023008,0.04808889278676054,0.06459948320413388,0.22075405214939928,10
M_to_L,0.13623570716593858,0.06161282900572576,0.049444793630839735,0.23102171939381055,10
Rev,1.1333333333333333,0.5708992257184503,0.3333333333333333,2.3333333333333335,10
Jump,0.5666666666666667,0.5454638981614923,0.0,1.3333333333333333,10
Smooth,0.02641330063343044,0.004530728603529972,0.0211863250782092,0.035850958277781765,10
q-MAE,,,,,0
q-RMSE,,,,,0
q-R2,,,,,0
Spearman,,,,,0
