Metric,Mean,Std,Min,Max,N
Acc,0.8266447368421052,0.06474035583342108,0.7302631578947368,0.9901315789473684,10
Macro-F1,0.8346981719659597,0.06507705465675474,0.7222717943385007,0.990371388098966,10
E-F1,0.7897662891331664,0.07083841186734735,0.7466666666666667,0.9882352941176472,10
M-F1,0.7502892953554877,0.1058598600681943,0.5494505494505495,0.988593155893536,10
L-F1,0.9640389314092251,0.040753880376978045,0.8502415458937198,0.9942857142857144,10
M-Precision,0.9583729826044765,0.02165639046546803,0.935483870967742,1.0,10
M-Recall,0.628030303030303,0.14808619955182964,0.3787878787878788,0.9848484848484848,10
M_to_E,0.34848484848484584,0.12015532579161847,0.015151515151515,0.4318181818181785,10
M_to_L,0.0234848484848483,0.07426561171607499,0.0,0.234848484848483,10
Rev,0.0,0.0,0.0,0.0,10
Jump,0.0,0.0,0.0,0.0,10
Smooth,0.01153358991723504,0.002973884185637366,0.0036870760377496,0.0137112261727452,10
q-MAE,0.14123092699901132,0.07837741000096547,0.0770189444350188,0.3339745382293075,10
q-RMSE,0.16791215246224384,0.0789602166978356,0.1051876759339937,0.3600487050888963,10
q-R2,0.27483245841259424,0.7780233557192348,-1.780804633643457,0.7626563093923118,10
Spearman,0.700855431645973,0.4184810196340558,-0.3626019916804998,0.9513720455066728,10
