Method,Dataset,Task,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
B8_DP2Net,PHM2010,D1,3,0.9144736842105264,0.9157130955085964,0.96,0.9037037037037036,0.8834355828220859,0.8652482269503546,0.9457364341085271,0.0542635658914724,0.0,4,0,0.0696720406413078,,,,
B8_DP2Net,PHM2010,D1,13,0.9144736842105264,0.9163062412475664,0.9081081081081082,0.8879310344827587,0.9528795811518324,1.0,0.7984496124031008,0.1317829457364331,0.0697674418604645,5,0,0.0525374896824359,,,,
B8_DP2Net,PHM2010,D1,23,0.9210526315789472,0.9228360249508674,0.95,0.9148936170212766,0.9036144578313252,0.8431372549019608,1.0,0.0,0.0,1,0,0.0527673736214637,,,,
B8_DP2Net,PHM2010,D1,33,0.8881578947368421,0.8801748316788433,0.7737226277372263,0.8835616438356164,0.9832402234636872,0.7914110429447853,1.0,0.0,0.0,2,0,0.0638868808746337,,,,
B8_DP2Net,PHM2010,D1,43,0.9078947368421052,0.9115696202531646,0.9367088607594936,0.888,0.91,0.9173553719008264,0.8604651162790697,0.0,0.1395348837209291,3,0,0.0610865093767643,,,,
B8_DP2Net,PHM2010,D1,53,0.930921052631579,0.9289535689535692,0.88,0.9230769230769232,0.9837837837837838,0.875,0.9767441860465116,0.0,0.0232558139534881,2,0,0.0576943308115005,,,,
B8_DP2Net,PHM2010,D1,63,0.9769736842105264,0.9770912675620465,0.9634146341463414,0.973384030418251,0.994475138121547,0.9552238805970148,0.992248062015504,0.007751937984496,0.0,4,0,0.0651029050350189,,,,
B8_DP2Net,PHM2010,D1,73,0.9407894736842104,0.9424873737373738,0.9545454545454546,0.925,0.9479166666666666,1.0,0.8604651162790697,0.0620155038759685,0.0775193798449606,4,0,0.0525376424193382,,,,
B8_DP2Net,PHM2010,D1,83,0.9342105263157896,0.935753735175143,0.918032786885246,0.9159663865546218,0.9732620320855616,1.0,0.8449612403100775,0.1162790697674409,0.0387596899224803,1,0,0.0606958046555519,,,,
B8_DP2Net,PHM2010,D1,93,0.9572368421052632,0.9584844203496632,0.994011976047904,0.9520295202952028,0.9294117647058824,0.908450704225352,1.0,0.0,0.0,3,0,0.0659176334738731,,,,
B8_DP2Net,PHM2010,D2,3,0.9473684210526316,0.948760790866054,0.935672514619883,0.9398496240601504,0.9707602339181286,0.9328358208955224,0.946969696969697,0.0530303030303026,0.0,2,0,0.0608405880630016,,,,
B8_DP2Net,PHM2010,D2,13,0.9276315789473684,0.9298639345150972,0.9090909090909092,0.9153846153846154,0.9651162790697676,0.9296875,0.9015151515151516,0.0909090909090902,0.0075757575757575,4,0,0.077352337539196,,,,
B8_DP2Net,PHM2010,D2,23,0.8848684210526315,0.8877425731830524,0.9032258064516128,0.8669201520912547,0.8930817610062893,0.8702290076335878,0.8636363636363636,0.1363636363636353,0.0,2,0,0.0615324079990386,,,,
B8_DP2Net,PHM2010,D2,33,0.9046052631578948,0.9052263738317936,0.8831168831168831,0.8913857677902621,0.9411764705882352,0.8814814814814815,0.9015151515151516,0.015151515151515,0.0833333333333327,2,0,0.0483348481357097,,,,
B8_DP2Net,PHM2010,D2,43,0.8486842105263158,0.8497218798650753,0.7926829268292683,0.8203125,0.9361702127659576,0.8467741935483871,0.7954545454545454,0.1136363636363627,0.0909090909090902,3,0,0.0674614831805229,,,,
B8_DP2Net,PHM2010,D2,53,0.8388157894736842,0.8419019789528722,0.8571428571428571,0.7841409691629956,0.8844221105527639,0.936842105263158,0.6742424242424242,0.1515151515151503,0.1742424242424229,5,0,0.0841622501611709,,,,
B8_DP2Net,PHM2010,D2,63,0.9407894736842104,0.9424135050269352,0.942528735632184,0.9323308270676692,0.9523809523809524,0.9253731343283582,0.9393939393939394,0.0606060606060601,0.0,2,0,0.0516884811222553,,,,
B8_DP2Net,PHM2010,D2,73,0.8881578947368421,0.8921339181089089,0.9212121212121211,0.8617886178861789,0.8934010152284264,0.9298245614035088,0.803030303030303,0.0378787878787875,0.1590909090909079,1,0,0.0457255169749259,,,,
B8_DP2Net,PHM2010,D2,83,0.8552631578947368,0.8586769665181674,0.8674698795180723,0.819672131147541,0.8888888888888888,0.8928571428571429,0.7575757575757576,0.0757575757575751,0.1666666666666654,2,0,0.0577090233564376,,,,
