Dataset,Method,Seed,Acc,Macro-F1,E-F1,M-F1,L-F1,M-Precision,M-Recall,M_to_E,M_to_L,Rev,Jump,Smooth,q-MAE,q-RMSE,q-R2,Spearman
PHM2010,B9_DC_PHSR,0,0.7039473684210525,0.6278203382658053,0.5942853612129296,0.6941748742507756,0.5950007793337108,0.7624932645008778,0.7894406033940918,0.0852713178294567,0.12528807877644985,0.6666666666666666,0.3333333333333333,0.015271689571305933,0.14996400260394616,0.17632982970514857,0.3912182431681916,0.8726365282274386
PHM2010,B9_DC_PHSR,1,0.8662280701754387,0.8706430833505817,0.8506723863571479,0.818494089092674,0.942762774601923,0.8754285217354157,0.7915642915642915,0.13636363636363533,0.0720720720720714,0.3333333333333333,0.0,0.015045315133478733,0.10572841669631598,0.12379882228026891,0.7142997391441194,0.8979399369436099
PHM2010,B9_DC_PHSR,2,0.7368421052631579,0.6639365807613079,0.6244018381156704,0.763903587256115,0.6035043169121382,0.7620124217146124,0.8695439625672184,0.023255813953488167,0.10720022347929237,1.0,0.0,0.021370343563833133,0.15445401502893663,0.17833186863093262,0.348960850566664,0.31968861615475264
PHM2010,B9_DC_PHSR,3,0.888157894736842,0.8940854326684456,0.8837877190676223,0.8488725904880475,0.9495959884496671,0.9176399281049381,0.8094426350240305,0.13894761569180067,0.05160974928416743,0.3333333333333333,0.0,0.017878838048263065,0.1152272858758314,0.13852470094506986,0.6481047760110809,0.9483286539751157
PHM2010,B9_DC_PHSR,4,0.8344298245614036,0.8394997169506606,0.8305820435807797,0.7643392994270187,0.9235778078441838,0.9196428571428571,0.6644128272035249,0.22175240779891772,0.1138347649975547,0.3333333333333333,0.0,0.017573226265561098,0.11024844799211643,0.13260706924888419,0.6728536357669098,0.8938055571477718
PHM2010,B9_DC_PHSR,5,0.8870614035087719,0.8922739177872172,0.8884162007603242,0.8450476733671598,0.9433578792341679,0.9394363166953528,0.7809236297608391,0.12884660559079064,0.09022976464836853,0.3333333333333333,0.0,0.021015617568863134,0.12535729889896632,0.15844875785048293,0.5212179073699187,0.6502743008213443
PHM2010,B9_DC_PHSR,6,0.8245614035087719,0.8281301884895437,0.8327047212639815,0.7424243674116681,0.9092614767929815,0.9256132756132756,0.6411459027738097,0.22169368099600492,0.13716041623018252,0.6666666666666666,0.0,0.019806373363326565,0.11244685261159636,0.13530742790957295,0.6605160765813894,0.9311249336262235
PHM2010,B9_DC_PHSR,7,0.8486842105263159,0.8534358379697355,0.8426131704065983,0.7866160111795802,0.9310783323230284,0.9358748992895335,0.6922890120564539,0.19597134132017702,0.11173964662336656,0.3333333333333333,0.0,0.019223309983626466,0.1102304258376464,0.13380978852725972,0.6703806748722722,0.9404796576958498
PHM2010,B9_DC_PHSR,8,0.8432017543859649,0.8480213004070514,0.8313390674572215,0.7772752564523263,0.9354495773116064,0.9251885369532428,0.6905906964046499,0.2242776603241702,0.08513164327117743,0.6666666666666666,0.0,0.018975463902751132,0.12862347624718282,0.1501265301034074,0.5490074564421459,0.694824499841314
PHM2010,B9_DC_PHSR,9,0.8793859649122807,0.8841813017056804,0.8725489492935523,0.837372213842802,0.9426227419806875,0.8840929012815218,0.8111520611520612,0.1287878787878778,0.060060060060059504,0.0,0.0,0.015826357940419967,0.11292781367725276,0.13492758817342118,0.6535311329170707,0.9453871009310221
