feature,MI_stage,MI_q,Spearman_q,distribution_instability,final_score,instability_group,selected,rank,max_abs_corr_with_selected
force_sensor_y__zero_crossing_rate__rel,0.5804512228744487,1.5311083276021247,0.7257614891885742,0.25839379293216874,2.0332895067742487,domain_id,True,1,0.0
force_sensor_y__dominant_freq__rel,0.6177635504930934,2.143625893251311,0.4730402971673217,0.4804297337339813,2.0252734525108083,domain_id,True,2,0.2636364978024408
force_sensor_y__spectral_rolloff95__rel,0.7317862930289534,2.827256529877636,0.04662289676129755,0.8010432966448968,1.9633060297087812,domain_id,True,3,0.08188798121684597
force_sensor_x__spectral_rolloff95__rank,0.4819492155770455,1.5378546866928908,0.6777090290467059,0.11554009070415598,1.867878456000446,domain_id,True,4,0.31224396468090077
force_sensor_x__clearance_factor__rel,0.6104703497117256,1.4356930521207087,0.5185012429568361,0.04045016523787553,1.8559455294404632,domain_id,True,5,0.5002748833678514
force_sensor_x__impulse_factor__rel,0.5767097284261407,1.3664091690262121,0.543808949723224,0.058934159314361134,1.8086719360352796,domain_id,False,6,
force_sensor_z__spectral_rolloff95__rel,0.43102858137362565,1.9865433972410411,0.5313666300474025,0.23994340175689005,1.7978339240387626,domain_id,True,7,0.27569724556866465
force_sensor_y__zero_crossing_rate__rank,0.43443887624178834,1.1385689082445136,0.7498207676125285,0.10240100166964194,1.7350988807969392,domain_id,True,8,0.7822031419748204
force_sensor_x__crest_factor__rel,0.5113363632306416,1.2304148465284483,0.5593325955320207,0.20890047770726897,1.671125987402479,domain_id,True,9,0.8992260891875374
position_control_deviation_axis_y__dominant_freq__rel,0.6162146904059289,1.971854175550202,0.2763281870842676,1.5280663443022806,1.656677897478321,domain_id,True,10,0.25968633480785297
force_sensor_z__dominant_amp__rel,0.3823374352810234,1.2030752649123388,0.7516632213219607,0.5045221751143798,1.6467519938341295,domain_id,True,11,0.6192932021349452
force_sensor_x__impulse_factor__rank,0.49305614887037064,0.9401208706227089,0.6447307058610328,0.14040735815405517,1.635913255887399,domain_id,False,12,
force_sensor_x__clearance_factor__rank,0.49778546914403776,0.8900073761856708,0.6384952436247121,0.00805349218070047,1.632168165421466,domain_id,False,13,
force_sensor_x__shape_factor__rel,0.480274772897485,1.8094300066546762,0.3807145255810172,0.4697781804845149,1.6278800725168212,domain_id,True,14,0.7583328955164037
force_sensor_y__dominant_freq__rank,0.4645032573816996,1.4911330175985151,0.5193539461637776,0.5274772416765253,1.6262993588409538,domain_id,True,15,0.7876160798405982
force_sensor_z__dominant_amp__rank,0.35580065722892407,0.9941931541742237,0.7553557780300983,0.4311382557260394,1.5478767933071167,domain_id,False,16,
force_sensor_x__crest_factor__rank,0.43633074152515827,0.9281284961600353,0.6489244211958786,0.3013838997142553,1.5416024379111168,domain_id,False,17,
force_sensor_z__spectral_skewness__rank,0.35768843556236973,0.8501312948109674,0.7304665364605962,0.07789502467851915,1.511315084852435,domain_id,True,18,0.6537818187287366
force_sensor_x__dominant_freq__rank,0.5144635369631267,1.89203308500407,0.18157592752375953,0.7316531843595773,1.4774620910392249,domain_id,True,19,0.3370346678402141
force_sensor_z__spectral_skewness__rel,0.32781620128426847,0.8454257384930299,0.713159145777961,0.03412883952693622,1.4560732474094642,domain_id,False,20,
force_sensor_z__dominant_freq__rel,0.5816666503927261,1.783875945424806,0.04208347403107139,0.4921932964202375,1.4164262524464526,domain_id,True,21,0.23632210114325108
force_sensor_z__spectral_kurtosis__rank,0.34999510076190377,0.6898043836559902,0.6927233799549056,0.013235195529251665,1.4130336550013602,domain_id,True,22,0.8550573198107838
force_sensor_x__p2p__rel,0.4496043892409167,1.275878084276139,0.3883983857310175,0.5376742252562231,1.397730396749305,domain_id,True,23,0.8643693723103825
force_sensor_x__dominant_freq__rel,0.5639170189140599,1.717450924826733,0.03520638793713955,0.2533399353711265,1.386624948854713,domain_id,True,24,0.620669879528628
force_sensor_x__shape_factor__rank,0.4001745936835077,1.0522557437807665,0.5132092481126896,0.4544553078685508,1.3844951385829078,domain_id,False,25,
force_sensor_x__kurtosis__rel,0.32215799020414004,1.0469632366106003,0.5962771420021526,0.2828195302153833,1.3769304144365797,domain_id,True,26,0.6651390512861898
force_sensor_x__kurtosis__rank,0.3093004565293036,0.987105005867988,0.6473097288408551,0.45129890729834504,1.3716814336625043,domain_id,False,27,
force_sensor_x__spectral_rolloff95__rel,0.5278467657279813,1.907786790901997,0.003341717531512565,0.33390601620044047,1.3644625410992386,domain_id,True,28,0.3690873301735905
force_sensor_z__spectral_kurtosis__rel,0.33377478548799333,0.8547274601850652,0.5747052675203298,0.0016361184670163262,1.3324339820791462,domain_id,False,29,
force_sensor_y__spectral_rolloff95__rank,0.401080333647013,2.2017622439020323,0.1371047815721197,1.6102240875012301,1.2963039416725428,domain_id,True,30,0.6702145438425712
force_sensor_z__spectral_entropy__rel,0.2576533185464316,0.822249199049411,0.651072973303138,0.11270254021486852,1.281731914005331,domain_id,True,31,0.7946663275999646
force_sensor_z__spectral_entropy__rank,0.2565950430811279,0.832844684918502,0.6242636347999376,0.060336602913035865,1.2626734906898958,domain_id,False,32,
force_sensor_y__shape_factor__rel,0.27553605539773596,1.4835353332064276,0.38620791805594396,0.3111574065687066,1.2547362509829134,domain_id,True,33,0.5432207980316445
force_sensor_y__mean__rel,0.2954118138527093,0.8803981320475573,0.5573285904388139,0.3572953777555288,1.2347278134712882,domain_id,True,34,0.4953584758225794
force_sensor_x__abs_mean__rel,0.22960976006257927,1.1493491423551534,0.6328343289767286,1.322004761005083,1.2151736530374788,domain_id,True,35,0.5284913884207622
force_sensor_x__peak__rel,0.3921121796362743,1.1198667843520238,0.3268488629895425,0.5931919696700448,1.1966193267137044,domain_id,False,36,
force_sensor_x__p2p__rank,0.3062984971136764,1.01735249185649,0.45670654617473977,0.4844976514894853,1.1842296168601731,domain_id,False,37,
