case,run_end,stage,q_target,split
3,7,middle,0.329457364340319,test
3,8,middle,0.3604651162782314,test
3,9,middle,0.40697674418509994,test
3,10,middle,0.4457364341074904,test
3,11,middle,0.5232558139522715,test
3,12,late,0.6007751937970522,test
3,14,late,0.7248062015487018,test
3,15,late,0.8953488372072199,test
3,16,late,0.9999999999976744,test
12,6,middle,0.20058997050111996,test
12,7,middle,0.27138643067798585,test
12,8,middle,0.35988200589906816,test
12,9,late,0.4542772861348893,test
12,10,middle,0.5486725663707105,test
12,11,middle,0.6253687315623151,test
12,12,late,0.7020648967539198,test
12,13,late,0.8082595870192186,test
12,14,late,0.9262536873139949,test
12,15,late,0.9999999999982301,test
15,6,late,0.895833333331467,test
15,7,late,0.9999999999979167,test
16,6,late,0.9999999999962964,test
1,6,late,0.3956043956035261,train
1,7,middle,0.4945054945044076,train
1,8,middle,0.5531135531123376,train
1,9,middle,0.5897435897422937,train
1,10,middle,0.6556776556762146,train
1,11,late,0.7435897435881095,train
1,12,middle,0.8461538461519865,train
1,13,late,0.8974358974339252,train
1,14,late,0.9706959706938373,train
1,15,late,0.9999999999978022,train
1,16,late,0.992673992671811,train
1,17,late,0.9597069597048504,train
2,6,middle,0.13580246913546717,train
2,7,middle,0.19341563785960472,train
2,8,middle,0.27160493827093435,train
2,9,middle,0.3786008230443328,train
2,10,late,0.5102880658423615,train
2,11,late,0.6502057613152671,train
2,12,late,0.7901234567881726,train
2,13,late,0.9300411522610782,train
2,14,late,0.9999999999975309,train
4,6,late,0.9068627450953721,train
4,7,late,0.9999999999970589,train
5,6,late,0.9999999999981982,train
7,6,late,0.7269076305203368,train
7,7,late,0.9036144578291478,train
7,8,late,0.9999999999975904,train
8,6,late,0.9999999999977274,train
9,6,middle,0.4790123456783027,train
9,7,late,0.661728395060748,train
9,8,late,0.874074074072779,train
9,9,late,0.9999999999985185,train
10,6,late,0.5490196078422145,train
10,7,middle,0.6722689075618952,train
10,8,late,0.7675070027998305,train
10,9,late,0.918767507001257,train
10,10,late,0.9999999999983193,train
13,6,middle,0.14448669201509926,train
13,7,middle,0.22560202788322511,train
13,8,middle,0.2864385297843195,train
13,9,middle,0.3624841571606876,train
13,10,middle,0.4486692015205714,train
13,11,middle,0.5399239543722131,train
13,12,late,0.6387832699614914,train
13,13,late,0.7579214195178013,train
13,14,late,0.9125475285164163,train
13,15,late,0.9999999999992395,train
11,6,early,0.10238095238080613,val
11,7,early,0.12142857142839794,val
11,8,middle,0.15476190476168367,val
11,9,middle,0.19047619047591843,val
11,10,middle,0.2285714285711021,val
11,11,middle,0.26190476190438783,val
11,12,middle,0.29999999999957144,val
11,13,middle,0.34047619047570415,val
11,14,middle,0.3785714285708877,val
11,15,middle,0.4309523809517654,val
11,16,middle,0.4833333333326429,val
11,17,late,0.5357142857135204,val
11,18,late,0.5833333333325001,val
11,19,late,0.6666666666657143,val
11,20,late,0.7761904761893674,val
11,21,late,0.8761904761892245,val
11,22,late,0.9666666666652858,val
11,23,late,0.9999999999985715,val
14,6,middle,0.36723163841766415,val
14,8,late,0.5612052730690459,val
14,9,late,0.8587570621459224,val
14,10,late,0.9999999999988701,val
