feature,mi_stage,mi_q,spearman_abs_q,domain_instability,feature_score,selected_rank,max_abs_corr_with_selected
ch7_wp_energy_ratio_8__rel,0.9196334559310397,2.0689636721650246,0.8953474467273344,0.027942362759344443,2.218395355516166,1,
ch2_std__rel,0.5631601663867147,1.624473887177067,0.8191514302418048,0.13559565121225134,1.5911168522460646,2,0.7626620112713682
ch5_wp_energy_8__rel,0.6228611170570333,1.347061896706324,0.8121930643788996,0.12928017157318455,1.5580770179677303,3,0.814746511382676
ch2_wp_energy_ratio_8__rel,0.6172824930339946,1.2919498817619512,0.8228000075549438,0.0949792561911915,1.5504904654423792,4,0.8740931469613001
ch3_wp_energy_ratio_8__rel,0.758885886664391,2.117681101390664,0.5199814039736845,0.9031619596694921,1.5458459471187669,5,0.6813776845657243
ch1_q25__rel,0.6528198077716598,2.0667317600245223,0.5200130467598029,0.6105222362814683,1.5137822975767863,6,0.608642913215152
ch1_iqr__rel,0.5420172396937262,1.5848459948682962,0.6323327022689237,0.050938561852364325,1.480869551466583,7,0.723729721496444
ch1_q25__online_rank,0.7668352670277472,1.0321215689969843,0.6298023544477566,0.3323482445359211,1.4348307522381605,8,0.8921715206741662
ch3_wp_energy_8__rel,0.5793088906844814,1.1234263910378952,0.8007393133681298,0.12765040491940519,1.4261679972468726,9,0.8462628501798498
ch4_wp_energy_8__rel,0.550418649286468,1.3437107648355209,0.7641937705296284,0.20399815343570882,1.4246665019963447,10,0.9165104219147266
ch4_wp_energy_1__rel,0.5151947848543756,1.4890031329503945,0.6828441989449748,0.11447605030982426,1.423363051683749,11,0.8523496701777408
ch1_q75__rel,0.5522747805355155,1.7674955955879876,0.46214617273101627,0.16704981224700868,1.4218386777604686,12,0.7063573796998208
ch2_skew__rel,0.53374974505333,1.6090979769836715,0.6611365913730388,0.26656342073249645,1.4206369395017457,13,0.8061235632520591
ch2_kurtosis__online_rank,0.6152830394802493,1.0716131386729697,0.7244595171392008,0.09596786720295782,1.416739922869339,14,0.7936274600599474
ch2_kurtosis__rel,0.4663915253538442,1.6749235374305926,0.626246177200429,0.0997212886896354,1.4087868624087994,15,0.9097298025685178
ch1_spec_centroid__online_rank,0.5448750611267565,1.6396336386055381,0.41223296366035245,0.0088444264394835,1.3968669215107452,16,0.5438551264707432
ch2_mean_abs__rel,0.5248678777844726,1.2180953006061919,0.8079628223396049,0.15726994604093356,1.3930230919475433,17,0.9094234730342476
ch1_spec_centroid__rel,0.6165799342114051,1.9472528519197856,0.17916886175733862,0.2235023051554857,1.3800934929665867,18,0.8750103978177961
ch1_wp_energy_8__rel,0.5420570309345465,1.05499501668226,0.8061299784112331,0.08942072892910065,1.3775852228677852,19,0.9195265556714198
ch1_wp_energy_ratio_7__rel,0.5577622315133195,1.6081961027288854,0.44118852262918334,0.16577772850199587,1.3610385730901136,20,0.6774678294998194
ch2_band_power_q4__rel,0.5303884533812528,1.1308444550155916,0.6467613908350264,0.002266593776876286,1.3341483151121931,21,0.7251812675016697
ch7_min__rel,0.7003547969890125,1.0456100144710814,0.46180810883156836,0.19412272821599405,1.322405286734557,22,0.6298926315365782
ch3_band_power_q4__rel,0.483317748165188,1.0718208747551428,0.7530018811533127,0.02180256649509395,1.313306965507046,23,0.8565984838721018
ch2_wp_energy_ratio_1__rel,0.5398532613463585,1.16450988183146,0.6797572693658843,0.20636448744412184,1.303055973667799,24,0.9024320378680478
ch6_wp_energy_8__rel,0.4722225313071642,1.6599209300563644,0.8297581390268407,0.7292394113307182,1.3015502924566191,25,0.9032288603264245
ch2_q25__rel,0.5339625594519766,1.35761271821243,0.61970282405679,0.30456507312660713,1.296762044408447,26,0.7262297625045403
ch5_wp_energy_1__rel,0.4793498858854335,1.6095196227910824,0.6179975825933277,0.41316275823503085,1.2859084474949252,27,0.891416841439267
ch3_wp_energy_ratio_8__online_rank,0.5583904897301459,1.1479277729062494,0.5602395197548331,0.12987560571525697,1.2786795330851661,28,0.7597296006480313
ch4_q25__rel,0.5021900563492123,1.0452339501986159,0.699298451468391,0.15282042733214302,1.2493679432950142,29,0.8614142784350881
ch6_wp_energy_1__rel,0.5322556004785035,1.4684776997450344,0.652991972617212,0.6181479560123245,1.2422421557722692,30,0.8215198303436478
ch1_band_power_q4__rel,0.4919177644134922,1.1537909017999453,0.6343862487706949,0.16557418588051614,1.235897828250524,31,0.8957849769768832
ch2_crest_factor__rel,0.5106279681190644,0.8545915425933557,0.699465005976946,0.03892590079707436,1.2318794928469896,32,0.8439418388030323
ch1_wp_energy_2__rel,0.5069547157382848,1.0536691441795316,0.6141330374051566,0.09597163050630997,1.2306174876705769,33,0.8745001347408876
ch1_var__slope,0.5881077305011106,0.7946817641155621,0.5692139432620287,0.03715125487454317,1.2251218505796941,34,0.6816214804018166
ch1_rms_freq__online_rank,0.46568603617658777,1.4572602156914205,0.5522718825514722,0.31330088673780565,1.2163899403313214,35,0.8729161712554245
