condition,window_start,window_end,run_id_end,stage,fine_state,q_target,split
C1,1,12,12,early,0,0.19320771875510137,test
C1,2,13,13,early,0,0.2101847712464187,test
C1,3,14,14,early,0,0.22535970930962534,test
C1,4,15,15,early,0,0.2388500265425312,test
C1,5,16,16,early,0,0.25076796493117615,test
C1,6,17,17,early,1,0.2612206852652242,test
C1,7,18,18,early,1,0.27031043350476347,test
C1,8,19,19,early,1,0.2781347032038214,test
C1,9,20,20,early,1,0.284786393978896,test
C1,10,21,21,early,1,0.290353966081007,test
C1,11,22,22,early,1,0.2949215912584859,test
C1,12,23,23,early,1,0.2985692998285967,test
C1,13,24,24,early,1,0.30137312415690737,test
C1,14,25,25,early,1,0.30340556711240524,test
C1,15,26,26,early,1,0.304808296554342,test
C1,16,27,27,early,1,0.3057115883934917,test
C1,17,28,28,early,1,0.30623489673016535,test
C1,18,29,29,early,1,0.30648740395987917,test
C1,19,30,30,early,1,0.3065685515019318,test
C1,20,31,31,early,1,0.3065685515019318,test
C1,21,32,32,early,1,0.3065685515019318,test
C1,22,33,33,early,1,0.3065685515019318,test
C1,23,34,34,early,1,0.3065685515019318,test
C1,24,35,35,early,1,0.3065685515019318,test
C1,25,36,36,early,1,0.3065685515019318,test
C1,26,37,37,early,1,0.3065685515019318,test
C1,27,38,38,early,1,0.3065685515019318,test
C1,28,39,39,early,1,0.3065685515019318,test
C1,29,40,40,early,1,0.3065685515019318,test
C1,30,41,41,early,1,0.3065685515019318,test
C1,31,42,42,early,1,0.30657399118611506,test
C1,32,43,43,early,1,0.3071984571013968,test
C1,33,44,44,early,1,0.3084141906933186,test
C1,34,45,45,early,1,0.3101936943077262,test
C1,35,46,46,early,1,0.3125097736542056,test
C1,36,47,47,early,1,0.3153355775782553,test
C1,37,48,48,early,1,0.31864463518900144,test
C1,38,49,49,early,1,0.3224054508337892,test
C1,39,50,50,early,1,0.3259788291328714,test
C1,40,51,51,early,1,0.32936739675801774,test
C1,41,52,52,early,1,0.33257402402212133,test
C1,42,53,53,early,1,0.3356018078189391,test
C1,43,54,54,early,1,0.33845405511278276,test
C1,44,55,55,early,1,0.34113426703667155,test
C1,45,56,56,early,1,0.3436461235053329,test
C1,46,57,57,early,1,0.3459934683898599,test
C1,47,58,58,early,1,0.34818029525402105,test
C1,48,59,59,early,1,0.35021073357031934,test
C1,49,60,60,early,1,0.3520890354626005,test
C1,50,61,61,early,1,0.35381956291670835,test
C1,51,62,62,early,1,0.35540677555279343,test
C1,52,63,63,early,1,0.3568552188071624,test
C1,53,64,64,early,1,0.35816951255877133,test
C1,54,65,65,early,1,0.3593543403056702,test
C1,55,66,66,early,1,0.36041443869248496,test
C1,56,67,67,early,1,0.36135458749424065,test
C1,57,68,68,early,1,0.36217960006823297,test
C1,58,69,69,early,1,0.36289431412182793,test
